lun oct  8 12:52:00 -05 2018
/dev/mapper/biodisk2-vol2     10T  8,6T  934G  91% /biodatatmp
/dev/mapper/biodisk1-vol1     10T  8,9T  597G  94% /biodata2
/dev/mapper/biodisk6-vol6     10T  9,1T  410G  96% /biodata1
/dev/mapper/biodisk7-vol7     10T  8,6T  934G  91% /biodatatmp2
/dev/mapper/biodisk9-vol9     10T  8,6T  851G  92% /biodata4
/dev/mapper/biodisk10-vol10   10T  9,3T  207G  98% /bioinformatica6
tmpfs                        303G  192K  303G   1% /run/user/1003
tmpfs                        303G   80K  303G   1% /run/user/1006
tmpfs                        303G     0  303G   0% /run/user/1000
lun dic 24 08:15:01 -05 2018
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  116M  303G   1% /run
/dev/sda3                    265G   94G  159G  38% /
tmpfs                        1,5T   52M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
/dev/mapper/biodisk10-vol10   10T  9,3T  207G  98% /bioinformatica6
/dev/mapper/biodisk9-vol9     10T  8,6T  851G  92% /biodata4
/dev/mapper/biodisk4-vol4   1008G  417G  540G  44% /biosamba
/dev/mapper/biodisk7-vol7     10T  8,6T  934G  91% /biodatatmp2
/dev/mapper/biodisk6-vol6     10T  9,1T  410G  96% /biodata1
/dev/mapper/biodisk1-vol1     10T  8,9T  597G  94% /biodata2
/dev/mapper/biodisk8-vol8     10T  8,7T  786G  92% /biodatatmp3
/dev/mapper/biodisk2-vol2     10T  8,3T  1,2T  88% /biodatatmp
tmpfs                        303G   40K  303G   1% /run/user/108
tmpfs                        303G   16K  303G   1% /run/user/1006
tmpfs                        303G   20K  303G   1% /run/user/1003
/dev/mapper/biodisk11-vol11   10T   37M  9,5T   1% /biotemp3
lun dic 31 08:15:01 -05 2018
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  292M  303G   1% /run
/dev/sda3                    265G   94G  159G  38% /
tmpfs                        1,5T   52M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
/dev/mapper/biodisk10-vol10   10T  9,3T  207G  98% /bioinformatica6
/dev/mapper/biodisk9-vol9     10T  8,6T  851G  92% /biodata4
/dev/mapper/biodisk4-vol4   1008G  417G  540G  44% /biosamba
/dev/mapper/biodisk7-vol7     10T  8,6T  934G  91% /biodatatmp2
/dev/mapper/biodisk6-vol6     10T  9,1T  410G  96% /biodata1
/dev/mapper/biodisk1-vol1     10T  8,9T  597G  94% /biodata2
/dev/mapper/biodisk8-vol8     10T  8,7T  786G  92% /biodatatmp3
/dev/mapper/biodisk2-vol2     10T  8,3T  1,2T  88% /biodatatmp
tmpfs                        303G   36K  303G   1% /run/user/108
tmpfs                        303G   16K  303G   1% /run/user/1006
tmpfs                        303G   24K  303G   1% /run/user/1003
/dev/mapper/biodisk11-vol11   10T   37M  9,5T   1% /biotemp3
lun ene  7 08:15:01 -05 2019
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  476M  302G   1% /run
/dev/sda3                    265G   94G  159G  38% /
tmpfs                        1,5T   52M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
/dev/mapper/biodisk10-vol10   10T  9,3T  207G  98% /bioinformatica6
/dev/mapper/biodisk9-vol9     10T  8,6T  851G  92% /biodata4
/dev/mapper/biodisk4-vol4   1008G  417G  540G  44% /biosamba
/dev/mapper/biodisk7-vol7     10T  8,6T  934G  91% /biodatatmp2
/dev/mapper/biodisk6-vol6     10T  9,1T  410G  96% /biodata1
/dev/mapper/biodisk1-vol1     10T  8,9T  597G  94% /biodata2
/dev/mapper/biodisk8-vol8     10T  8,7T  786G  92% /biodatatmp3
/dev/mapper/biodisk2-vol2     10T  8,3T  1,2T  88% /biodatatmp
tmpfs                        303G   36K  303G   1% /run/user/108
tmpfs                        303G   16K  303G   1% /run/user/1006
tmpfs                        303G   28K  303G   1% /run/user/1003
/dev/mapper/biodisk11-vol11   10T   37M  9,5T   1% /biotemp3
lun ene 14 08:15:01 -05 2019
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G   84M  303G   1% /run
/dev/sda3                    265G  113G  140G  45% /
tmpfs                        1,5T   19M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
tmpfs                        1,5T     0  1,5T   0% /sys/fs/cgroup
/dev/mapper/biodisk4-vol4   1008G  417G  540G  44% /biosamba
/dev/mapper/biodisk1-vol1     10T  8,9T  597G  94% /biodata2
/dev/mapper/biodisk7-vol7     10T  8,6T  934G  91% /biodatatmp2
/dev/mapper/biodisk11-vol11   10T   37M  9,5T   1% /biotemp3
/dev/mapper/biodisk9-vol9     10T  8,6T  851G  92% /biodata4
/dev/mapper/biodisk6-vol6     10T  9,1T  410G  96% /biodata1
/dev/mapper/biodisk10-vol10   10T  9,3T  207G  98% /bioinformatica6
/dev/mapper/biodisk2-vol2     10T  8,3T  1,2T  88% /biodatatmp
/dev/mapper/biodisk8-vol8     10T  8,7T  786G  92% /biodatatmp3
tmpfs                        303G   28K  303G   1% /run/user/108
tmpfs                        303G   20K  303G   1% /run/user/1003
lun ene 21 08:15:01 -05 2019
Filesystem                   Size  Used Avail Use% Mounted on
udev                         1,5T     0  1,5T   0% /dev
tmpfs                        303G  278M  303G   1% /run
/dev/sda3                    265G  114G  138G  46% /
tmpfs                        1,5T   84M  1,5T   1% /dev/shm
tmpfs                        5,0M     0  5,0M   0% /run/lock
